heading,count,share,cum_share,rank
National Treasury Management Agency,9,0.0005385996409335727,0.9128665469778565,328
International Agreements,9,0.0005385996409335727,0.9134051466187901,329
Schools Refurbishment,9,0.0005385996409335727,0.9139437462597237,330
Environmental Impact Assessments,9,0.0005385996409335727,0.9144823459006574,331
Water Services,9,0.0005385996409335727,0.915020945541591,332
Electronic Tagging,9,0.0005385996409335727,0.9155595451825246,333
Human Trafficking,9,0.0005385996409335727,0.9160981448234582,334
Weather Events,9,0.0005385996409335727,0.9166367444643918,335
Civil Registration Service,9,0.0005385996409335727,0.9171753441053254,336
Employment Schemes,9,0.0005385996409335727,0.917713943746259,337
Local Government Reform,9,0.0005385996409335727,0.9182525433871926,338
Wastewater Treatment,9,0.0005385996409335727,0.9187911430281263,339
Library Projects,9,0.0005385996409335727,0.9193297426690599,340
